source,task,variables,arm,qubits,longest,residual,p_solve,broken
broken_clone_physics.log,pegasus3-fill30-a3.0-17,34,pruned,60,6,0.10911709078404574,0.0595703125,0.07811781939338236
broken_clone_physics.log,pegasus3-fill30-a3.0-17,34,minorminer,39,,0.031560297025447055,0.304443359375,0.018669577205882353
broken_clone_physics.log,pegasus3-fill30-a3.0-19,30,policy,38,3,0.039307056537479027,0.374267578125,0.05016276041666667
broken_clone_physics.log,pegasus3-fill30-a3.0-19,30,pruned,36,3,0.04393533060051142,0.364013671875,0.050390625
broken_clone_physics.log,pegasus3-fill30-a3.0-19,30,minorminer,30,,0.03519617759795635,0.42138671875,0.0
broken_clone_physics.log,pegasus3-fill30-a3.0-21,26,policy,44,4,0.14135974702381263,0.078125,0.07034067007211539
broken_clone_physics.log,pegasus3-fill30-a3.0-21,26,pruned,41,3,0.14349144345238318,0.064697265625,0.07030310997596154
broken_clone_physics.log,pegasus3-fill30-a3.0-21,26,minorminer,28,,0.12864769345237986,0.371337890625,0.029137244591346152
broken_clone_physics.log,pegasus3-fill30-a3.0-25,32,policy,48,4,0.11673482259114659,0.1220703125,0.08440399169921875
broken_clone_physics.log,pegasus3-fill30-a3.0-25,32,pruned,42,4,0.11606343587239655,0.128173828125,0.08400726318359375
broken_clone_physics.log,pegasus3-fill30-a3.0-25,32,minorminer,33,,0.07026926676432278,0.2197265625,0.00791168212890625
broken_clone_physics.log,pegasus3-fill30-a3.0-7,31,policy,48,5,0.07670190520446295,0.239013671875,0.07205298639112903
broken_clone_physics.log,pegasus3-fill30-a3.0-7,31,pruned,45,5,0.09263366926115477,0.12841796875,0.08086567540322581
broken_clone_physics.log,pegasus3-fill30-a3.0-7,31,minorminer,35,,0.02587346073420041,0.476806640625,0.034817603326612906
broken_clone_physics.log,pegasus3-fill30-a3.0-10,29,policy,39,3,0.14603323573747518,0.133544921875,0.06425949622844827
broken_clone_physics.log,pegasus3-fill30-a3.0-10,29,pruned,38,3,0.1425835604127996,0.123779296875,0.062398976293103446
broken_clone_physics.log,pegasus3-fill30-a3.0-10,29,minorminer,30,,0.10573327342300086,0.321533203125,0.029793574892241378
broken_clone_physics.log,pegasus3-fill30-a3.0-5,34,policy,44,3,0.14343238198458502,0.06982421875,0.05742331112132353
broken_clone_physics.log,pegasus3-fill30-a3.0-5,34,pruned,43,3,0.14537421724470087,0.070556640625,0.052138384650735295
broken_clone_physics.log,pegasus3-fill30-a3.0-5,34,minorminer,35,,0.05976035645472258,0.190185546875,0.0002082375919117647
broken_clone_physics.log,pegasus3-fill30-a3.0-26,33,policy,63,9,0.15373615125240886,0.089599609375,0.08328894412878787
broken_clone_physics.log,pegasus3-fill30-a3.0-26,33,pruned,63,9,0.15373426962909434,0.087158203125,0.08349609375
broken_clone_physics.log,pegasus3-fill30-a3.0-26,33,minorminer,41,,0.06194680274566626,0.23193359375,0.054524739583333336
broken_clone_physics.log,pegasus3-fill30-a3.0-15,27,policy,44,4,0.10921407660834946,0.178466796875,0.06701208043981481
broken_clone_physics.log,pegasus3-fill30-a3.0-15,27,pruned,41,4,0.13838089023701747,0.1748046875,0.07262731481481481
broken_clone_physics.log,pegasus3-fill30-a3.0-15,27,minorminer,29,,0.0288339446952606,0.461669921875,0.0003345630787037037
broken_clone_physics.log,pegasus3-fill30-a3.0-24,30,policy,60,5,0.1339616957322364,0.154052734375,0.09672037760416667
broken_clone_physics.log,pegasus3-fill30-a3.0-24,30,pruned,58,5,0.15250115088821606,0.1259765625,0.10917154947916667
broken_clone_physics.log,pegasus3-fill30-a3.0-24,30,minorminer,33,,0.11049542352686305,0.212646484375,0.029134114583333332
broken_clone_physics.log,pegasus3-fill30-a3.0-3,26,policy,39,5,0.05635426456766953,0.654296875,0.022423377403846152
broken_clone_physics.log,pegasus3-fill30-a3.0-3,26,pruned,36,3,0.0726865993107771,0.6025390625,0.026836688701923076
broken_clone_physics.log,pegasus3-fill30-a3.0-3,26,minorminer,31,,0.06847685620300764,0.64892578125,0.017737755408653848
broken_clone_physics.log,pegasus3-fill30-a3.0-8,33,policy,40,3,0.06041980421686853,0.312255859375,0.014530066287878788
broken_clone_physics.log,pegasus3-fill30-a3.0-8,33,pruned,39,3,0.06285297439759156,0.314453125,0.014115767045454546
broken_clone_physics.log,pegasus3-fill30-a3.0-8,33,minorminer,34,,0.0887165850903616,0.32666015625,0.010912346117424242
broken_clone_physics.log,pegasus3-fill30-a3.0-9,32,policy,50,5,0.12419202302631227,0.063232421875,0.06531524658203125
broken_clone_physics.log,pegasus3-fill30-a3.0-9,32,pruned,48,5,0.12311677631578605,0.068115234375,0.077789306640625
broken_clone_physics.log,pegasus3-fill30-a3.0-9,32,minorminer,34,,0.03938939144736827,0.49267578125,0.00380706787109375
broken_clone_physics.log,pegasus3-fill30-a3.0-23,28,policy,51,5,0.1338738207547166,0.099853515625,0.08522251674107142
broken_clone_physics.log,pegasus3-fill30-a3.0-23,28,pruned,48,5,0.1297685731132078,0.107421875,0.08327811104910714
broken_clone_physics.log,pegasus3-fill30-a3.0-23,28,minorminer,35,,0.251580925707545,0.054931640625,0.0677490234375
broken_clone_physics.log,pegasus3-fill30-a3.0-27,24,policy,35,3,0.1759380375573356,0.051513671875,0.081298828125
broken_clone_physics.log,pegasus3-fill30-a3.0-27,24,pruned,34,3,0.19942257382453663,0.028564453125,0.087432861328125
broken_clone_physics.log,pegasus3-fill30-a3.0-27,24,minorminer,30,,0.10005061998279667,0.193603515625,0.042429606119791664
broken_clone_physics.log,pegasus3-fill30-a3.0-11,25,policy,33,3,0.012074077560240861,0.75341796875,0.033095703125
broken_clone_physics.log,pegasus3-fill30-a3.0-11,25,pruned,32,3,0.011250470632530069,0.76904296875,0.033583984375
broken_clone_physics.log,pegasus3-fill30-a3.0-11,25,minorminer,26,,0.014733151355421508,0.68603515625,1.953125e-05
broken_clone_physics.log,pegasus3-fill30-a3.0-0,17,policy,22,2,0.038654426332853035,0.81396484375,0.011072495404411764
broken_clone_physics.log,pegasus3-fill30-a3.0-0,17,pruned,21,2,0.039363630223342945,0.814453125,0.008358226102941176
broken_clone_physics.log,pegasus3-fill30-a3.0-0,17,minorminer,18,,0.007896929034582192,0.88232421875,0.0
broken_clone_physics.log,pegasus3-fill30-a3.0-1,28,policy,43,4,0.07470463771446187,0.273193359375,0.06162806919642857
broken_clone_physics.log,pegasus3-fill30-a3.0-1,28,pruned,42,3,0.0714183134191181,0.33740234375,0.06177629743303571
broken_clone_physics.log,pegasus3-fill30-a3.0-1,28,minorminer,29,,0.05228439031862805,0.536376953125,0.004481724330357143
broken_clone_physics.log,pegasus3-fill30-a3.0-2,29,policy,43,4,0.044623141211985316,0.0693359375,0.04939217403017242
broken_clone_physics.log,pegasus3-fill30-a3.0-2,29,pruned,39,4,0.03792346824686948,0.08251953125,0.043196053340517244
broken_clone_physics.log,pegasus3-fill30-a3.0-2,29,minorminer,30,,0.009003941189624167,0.736572265625,0.0005303744612068966
excess_p3_f30.log,pegasus3-fill30-a3.0-14,31,policy,85,9,0.1614611763100459,0.04541015625,
excess_p3_f30.log,pegasus3-fill30-a3.0-14,31,pruned,52,7,0.13820065161026443,0.04052734375,
excess_p3_f30.log,pegasus3-fill30-a3.0-14,31,minorminer,33,,0.05647004639738176,0.252685546875,
excess_p3_f30.log,pegasus3-fill30-a3.0-17,34,policy,105,9,0.1060597919532337,0.097900390625,
excess_p3_f30.log,pegasus3-fill30-a3.0-17,34,pruned,62,4,0.12514776048830867,0.05712890625,
excess_p3_f30.log,pegasus3-fill30-a3.0-17,34,minorminer,35,,0.01976498022695989,0.529541015625,
excess_p3_f30.log,pegasus3-fill30-a3.0-21,26,policy,68,8,0.2467912946428612,0.016357421875,
excess_p3_f30.log,pegasus3-fill30-a3.0-21,26,pruned,48,4,0.21238653273809804,0.01171875,
excess_p3_f30.log,pegasus3-fill30-a3.0-21,26,minorminer,28,,0.042899925595237746,0.50244140625,
excess_p3_f30.log,pegasus3-fill30-a3.0-4,13,policy,26,4,0.08435450072885742,0.033203125,
excess_p3_f30.log,pegasus3-fill30-a3.0-4,13,pruned,18,2,0.08088955448250193,0.0224609375,
excess_p3_f30.log,pegasus3-fill30-a3.0-4,13,minorminer,15,,0.11760033254372733,0.263916015625,
excess_p3_f30.log,pegasus3-fill30-a3.0-2,29,policy,59,6,0.0628528902057246,0.264892578125,
excess_p3_f30.log,pegasus3-fill30-a3.0-2,29,pruned,41,5,0.060478742732558134,0.2578125,
excess_p3_f30.log,pegasus3-fill30-a3.0-2,29,minorminer,30,,0.008750628913237773,0.741943359375,
excess_p3_f30.log,pegasus3-fill30-a3.0-24,30,policy,94,9,0.1395976630199325,0.1416015625,
excess_p3_f30.log,pegasus3-fill30-a3.0-24,30,pruned,64,6,0.20108725086655782,0.050537109375,
excess_p3_f30.log,pegasus3-fill30-a3.0-24,30,minorminer,37,,0.06880111297660287,0.35546875,
excess_p3_f30.log,pegasus3-fill30-a3.0-18,25,policy,63,8,0.16011326749559554,0.259765625,
excess_p3_f30.log,pegasus3-fill30-a3.0-18,25,pruned,45,4,0.15758073833626424,0.27783203125,
excess_p3_f30.log,pegasus3-fill30-a3.0-18,25,minorminer,29,,0.07137674680897804,0.386962890625,
excess_p3_f30.log,pegasus3-fill30-a3.0-28,27,policy,80,10,0.10706387269523061,0.1611328125,
excess_p3_f30.log,pegasus3-fill30-a3.0-28,27,pruned,48,5,0.0752355612798267,0.2802734375,
excess_p3_f30.log,pegasus3-fill30-a3.0-28,27,minorminer,28,,0.0419710039316698,0.39990234375,
excess_clone_p3.log,pegasus3-fill30-a3.0-14,31,policy,65,8,0.1601562500000028,0.10400390625,
excess_clone_p3.log,pegasus3-fill30-a3.0-14,31,pruned,44,6,0.13559506345524264,0.09228515625,
excess_clone_p3.log,pegasus3-fill30-a3.0-14,31,minorminer,33,,0.05647004639738176,0.252685546875,
excess_clone_p3.log,pegasus3-fill30-a3.0-17,34,policy,88,7,0.061293737104539885,0.239013671875,
excess_clone_p3.log,pegasus3-fill30-a3.0-17,34,pruned,64,4,0.07274383167125359,0.059326171875,
excess_clone_p3.log,pegasus3-fill30-a3.0-17,34,minorminer,35,,0.01976498022695989,0.529541015625,
excess_clone_p3.log,pegasus3-fill30-a3.0-21,26,policy,46,4,0.09203124999999931,0.23974609375,
excess_clone_p3.log,pegasus3-fill30-a3.0-21,26,pruned,40,3,0.09499255952380894,0.250732421875,
excess_clone_p3.log,pegasus3-fill30-a3.0-21,26,minorminer,28,,0.042899925595237746,0.50244140625,
excess_clone_p3.log,pegasus3-fill30-a3.0-4,13,policy,30,5,0.10661044551749291,0.453857421875,
excess_clone_p3.log,pegasus3-fill30-a3.0-4,13,pruned,23,5,0.10915292456267743,0.155517578125,
excess_clone_p3.log,pegasus3-fill30-a3.0-4,13,minorminer,15,,0.11760033254372733,0.263916015625,
excess_clone_p3.log,pegasus3-fill30-a3.0-2,29,policy,59,7,0.05540550927996391,0.112548828125,
excess_clone_p3.log,pegasus3-fill30-a3.0-2,29,pruned,48,5,0.05048251621198507,0.139892578125,
excess_clone_p3.log,pegasus3-fill30-a3.0-2,29,minorminer,30,,0.008750628913237773,0.741943359375,
excess_clone_p3.log,pegasus3-fill30-a3.0-24,30,policy,67,5,0.1042958595103991,0.232421875,
excess_clone_p3.log,pegasus3-fill30-a3.0-24,30,pruned,47,4,0.17717077827123245,0.089599609375,
excess_clone_p3.log,pegasus3-fill30-a3.0-24,30,minorminer,37,,0.06880111297660287,0.35546875,
excess_clone_p3.log,pegasus3-fill30-a3.0-18,25,policy,59,7,0.08463427046654812,0.42578125,
excess_clone_p3.log,pegasus3-fill30-a3.0-18,25,pruned,48,5,0.09954404159330842,0.41796875,
excess_clone_p3.log,pegasus3-fill30-a3.0-18,25,minorminer,29,,0.07137674680897804,0.386962890625,
excess_clone_p3.log,pegasus3-fill30-a3.0-28,27,policy,53,5,0.1108070092190899,0.05908203125,
excess_clone_p3.log,pegasus3-fill30-a3.0-28,27,pruned,42,4,0.08912139031995685,0.132080078125,
excess_clone_p3.log,pegasus3-fill30-a3.0-28,27,minorminer,28,,0.0419710039316698,0.39990234375,
excess20_pre_p3.log,pegasus3-fill30-a3.0-22,32,policy,79,7,0.09112177309782309,0.09716796875,
excess20_pre_p3.log,pegasus3-fill30-a3.0-22,32,pruned,39,3,0.0575683593749984,0.24609375,
