source,task,depth,action,residual,is_policy_pick,is_measured_best,spread
branch_records_p3.jsonl,pegasus3-fill30-a3.0-1,10,94,0.10455545774647881,0,0,0.14236355633802852
branch_records_p3.jsonl,pegasus3-fill30-a3.0-1,24,9,0.2052596830985916,1,0,0.09302376760563412
branch_records_p3.jsonl,pegasus3-fill30-a3.0-1,24,69,0.11320422535211262,0,1,0.09302376760563412
branch_records_p3.jsonl,pegasus3-fill30-a3.0-1,24,86,0.20622799295774674,0,0,0.09302376760563412
branch_records_p3.jsonl,pegasus3-fill30-a3.0-1,24,112,0.17024647887323943,0,0,0.09302376760563412
branch_records_p3.jsonl,pegasus3-fill30-a3.0-1,26,1,0.26914612676056343,0,0,0.29617077464788855
branch_records_p3.jsonl,pegasus3-fill30-a3.0-1,26,24,0.26747359154929584,1,0,0.29617077464788855
branch_records_p3.jsonl,pegasus3-fill30-a3.0-1,26,25,0.06423855633802814,0,1,0.29617077464788855
branch_records_p3.jsonl,pegasus3-fill30-a3.0-1,26,56,0.36040933098591665,0,0,0.29617077464788855
branch_records_p3.jsonl,pegasus3-fill30-a3.0-46,10,3,0.10693705673758896,0,0,0.020888741134751837
branch_records_p3.jsonl,pegasus3-fill30-a3.0-46,10,5,0.09639110520094596,1,1,0.020888741134751837
branch_records_p3.jsonl,pegasus3-fill30-a3.0-46,10,54,0.1172798463356978,0,0,0.020888741134751837
branch_records_p3.jsonl,pegasus3-fill30-a3.0-46,10,62,0.0977578309692674,0,0,0.020888741134751837
branch_records_p3.jsonl,pegasus3-fill30-a3.0-46,33,7,0.10381575059101693,0,0,0.03632904846335708
branch_records_p3.jsonl,pegasus3-fill30-a3.0-46,33,88,0.08316710992907828,1,1,0.03632904846335708
branch_records_p3.jsonl,pegasus3-fill30-a3.0-46,33,93,0.11873891843971669,0,0,0.03632904846335708
branch_records_p3.jsonl,pegasus3-fill30-a3.0-46,33,140,0.11949615839243535,0,0,0.03632904846335708
branch_records_p3.jsonl,pegasus3-fill30-a3.0-46,43,8,0.0956523345153667,1,0,0.0948581560283688
branch_records_p3.jsonl,pegasus3-fill30-a3.0-46,43,11,0.10472074468085138,0,0,0.0948581560283688
branch_records_p3.jsonl,pegasus3-fill30-a3.0-46,43,38,0.07297207446808537,0,1,0.0948581560283688
branch_records_p3.jsonl,pegasus3-fill30-a3.0-46,43,63,0.16783023049645418,0,0,0.0948581560283688
branch_records_p3.jsonl,pegasus3-fill30-a3.0-46,45,8,0.08161569148936197,0,0,0.08085845153664295
branch_records_p3.jsonl,pegasus3-fill30-a3.0-46,45,37,0.076998374704492,0,1,0.08085845153664295
branch_records_p3.jsonl,pegasus3-fill30-a3.0-46,45,59,0.09785017730496484,1,0,0.08085845153664295
branch_records_p3.jsonl,pegasus3-fill30-a3.0-46,45,60,0.15785682624113495,0,0,0.08085845153664295
branch_records_p3.jsonl,pegasus3-fill30-a3.0-58,2,12,0.11685805722891582,1,0,0.055675828313253094
branch_records_p3.jsonl,pegasus3-fill30-a3.0-58,2,16,0.08360786897590376,0,0,0.055675828313253094
branch_records_p3.jsonl,pegasus3-fill30-a3.0-58,2,18,0.07504235692771097,0,0,0.055675828313253094
branch_records_p3.jsonl,pegasus3-fill30-a3.0-58,2,45,0.061182228915662724,0,1,0.055675828313253094
branch_records_p3.jsonl,pegasus3-fill30-a3.0-58,6,5,0.10984563253012061,0,0,0.09438535391566263
branch_records_p3.jsonl,pegasus3-fill30-a3.0-58,6,25,0.031720632530120585,1,1,0.09438535391566263
branch_records_p3.jsonl,pegasus3-fill30-a3.0-58,6,27,0.09511483433734952,0,0,0.09438535391566263
branch_records_p3.jsonl,pegasus3-fill30-a3.0-58,6,109,0.12610598644578322,0,0,0.09438535391566263
branch_records_p3.jsonl,pegasus3-fill30-a3.0-58,28,85,0.04918109939759046,1,1,0.02414344879518076
branch_records_p3.jsonl,pegasus3-fill30-a3.0-58,28,87,0.0597703313253013,0,0,0.02414344879518076
branch_records_p3.jsonl,pegasus3-fill30-a3.0-58,28,133,0.07332454819277122,0,0,0.02414344879518076
branch_records_p3.jsonl,pegasus3-fill30-a3.0-58,28,136,0.06682981927710857,0,0,0.02414344879518076
branch_records_p3.jsonl,pegasus3-fill30-a3.0-58,31,0,0.03501506024096391,1,1,0.06021743222891577
branch_records_p3.jsonl,pegasus3-fill30-a3.0-58,31,82,0.09523249246987968,0,0,0.06021743222891577
branch_records_p3.jsonl,pegasus3-fill30-a3.0-58,31,126,0.04023908132530129,0,0,0.06021743222891577
branch_records_p3.jsonl,pegasus3-fill30-a3.0-58,31,136,0.04880459337349406,0,0,0.06021743222891577
branch_records_p3.jsonl,pegasus3-fill30-a3.0-45,4,2,0.06005396110056946,1,1,0.06970469639468688
branch_records_p3.jsonl,pegasus3-fill30-a3.0-45,4,24,0.09821216793168899,0,0,0.06970469639468688
branch_records_p3.jsonl,pegasus3-fill30-a3.0-45,4,39,0.06874110531309316,0,0,0.06970469639468688
branch_records_p3.jsonl,pegasus3-fill30-a3.0-45,4,60,0.12975865749525634,0,0,0.06970469639468688
branch_records_p3.jsonl,pegasus3-fill30-a3.0-45,10,5,0.09973908918406096,0,0,0.03964065464895635
branch_records_p3.jsonl,pegasus3-fill30-a3.0-45,10,13,0.06009843453510461,1,1,0.03964065464895635
branch_records_p3.jsonl,pegasus3-fill30-a3.0-45,10,14,0.08495908444022784,0,0,0.03964065464895635
branch_records_p3.jsonl,pegasus3-fill30-a3.0-45,10,109,0.07665737666034175,0,0,0.03964065464895635
branch_records_p3.jsonl,pegasus3-fill30-a3.0-45,13,10,0.07824359582542714,0,0,0.03482269924098676
branch_records_p3.jsonl,pegasus3-fill30-a3.0-45,13,72,0.08399549335863399,1,0,0.03482269924098676
branch_records_p3.jsonl,pegasus3-fill30-a3.0-45,13,73,0.10387511859582564,0,0,0.03482269924098676
branch_records_p3.jsonl,pegasus3-fill30-a3.0-45,13,123,0.06905241935483888,0,1,0.03482269924098676
branch_records_p3.jsonl,pegasus3-fill30-a3.0-45,31,66,0.12191650853889954,1,0,0.04481439753320682
branch_records_p3.jsonl,pegasus3-fill30-a3.0-45,31,68,0.11738021821631903,0,0,0.04481439753320682
branch_records_p3.jsonl,pegasus3-fill30-a3.0-45,31,252,0.1285282258064518,0,0,0.04481439753320682
branch_records_p3.jsonl,pegasus3-fill30-a3.0-45,31,369,0.08371382827324497,0,1,0.04481439753320682
branch_records_p3.jsonl,pegasus3-fill30-a3.0-88,2,0,0.14850603070175464,1,0,0.07988395467836235
branch_records_p3.jsonl,pegasus3-fill30-a3.0-88,2,8,0.11396655701754421,0,1,0.07988395467836235
branch_records_p3.jsonl,pegasus3-fill30-a3.0-88,2,22,0.19385051169590656,0,0,0.07988395467836235
branch_records_p3.jsonl,pegasus3-fill30-a3.0-88,2,122,0.12950018274853825,0,0,0.07988395467836235
branch_records_p3.jsonl,pegasus3-fill30-a3.0-88,6,1,0.14633589181286571,1,0,0.040318896198830556
branch_records_p3.jsonl,pegasus3-fill30-a3.0-88,6,8,0.16988760964912314,0,0,0.040318896198830556
branch_records_p3.jsonl,pegasus3-fill30-a3.0-88,6,70,0.12956871345029258,0,1,0.040318896198830556
