task_index,source,break_rate,length,internal_edges,redundancy,cut_vertices,logical_degree,coupling_mass,contacts,mass_per_contact,max_contact_load,load_concentration,field
0,minorminer,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,minorminer,0.0,1.0,0.0,0.0,0.0,2.0,5.0,2.0,2.5,3.9,1.56,0.0
0,minorminer,0.0,1.0,0.0,0.0,0.0,3.0,5.0,3.0,1.6666666666666667,3.9,2.34,0.0
0,minorminer,0.0,1.0,0.0,0.0,0.0,4.0,8.6,4.0,2.15,3.5,1.627906976744186,0.0
0,minorminer,0.0,1.0,0.0,0.0,0.0,2.0,2.8,2.0,1.4,2.4,1.7142857142857144,0.0
0,minorminer,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,minorminer,0.0,1.0,0.0,0.0,0.0,3.0,8.6,3.0,2.8666666666666667,3.9,1.3604651162790697,0.0
0,minorminer,0.0,1.0,0.0,0.0,0.0,3.0,4.2,3.0,1.4000000000000001,2.1,1.5,0.0
0,minorminer,0.0,1.0,0.0,0.0,0.0,2.0,6.2,2.0,3.1,3.5,1.129032258064516,0.0
0,minorminer,0.0,1.0,0.0,0.0,0.0,4.0,9.0,4.0,2.25,3.9,1.7333333333333334,0.0
1,policy0,0.01416015625,2.0,1.0,0.0,0.0,2.0,5.0,5.0,1.0,1.25,1.2,0.0
1,policy0,0.0087890625,2.0,1.0,0.0,0.0,6.0,12.799999999999999,6.0,2.1333333333333333,3.9,1.828125,0.0
1,policy0,0.04150390625,6.0,6.0,1.0,3.0,5.0,14.8,18.0,0.8222222222222223,2.5,2.0215633423180592,0.0
1,policy0,0.04541015625,3.0,2.0,0.0,1.0,2.0,5.0,4.0,1.25,2.5,1.5,0.0
1,policy0,0.0283203125,2.0,1.0,0.0,0.0,2.0,7.0,4.0,1.75,1.95,1.1142857142857143,0.0
1,policy0,0.72607421875,2.0,1.0,0.0,0.0,2.0,6.2,3.0,2.066666666666667,3.1,1.3333333333333333,0.0
1,policy0,0.0,1.0,0.0,0.0,0.0,3.0,7.8,5.0,1.56,3.1,1.6807228915662653,0.0
1,policy0,0.04638671875,3.0,2.0,0.0,1.0,2.0,5.0,3.0,1.6666666666666667,2.1,1.183098591549296,0.0
1,policy0,0.0,1.0,0.0,0.0,0.0,2.0,5.0,3.0,1.6666666666666667,2.5,1.3333333333333333,0.0
1,policy0,0.00634765625,3.0,2.0,0.0,1.0,3.0,5.6,5.0,1.1199999999999999,1.8,1.6199999999999999,0.0
1,policy0,0.0078125,3.0,2.0,0.0,1.0,3.0,3.5999999999999996,4.0,0.8999999999999999,1.2999999999999998,1.471698113207547,0.0
1,policy0,0.03515625,3.0,2.0,0.0,1.0,3.0,7.0,4.0,1.75,3.5,1.6666666666666665,0.0
1,policy0,0.04052734375,7.0,9.0,3.0,2.0,3.0,7.8,10.0,0.78,3.3,1.6363636363636362,0.0
1,policy0,0.0107421875,3.0,2.0,0.0,1.0,3.0,7.0,8.0,0.875,1.1666666666666667,1.253731343283582,0.0
1,policy0,0.09033203125,2.0,1.0,0.0,0.0,4.0,7.2,7.0,1.0285714285714287,2.5,1.8779342723004695,0.0
1,policy0,0.10693359375,4.0,3.0,0.0,2.0,3.0,7.800000000000001,4.0,1.9500000000000002,3.5,1.6535433070866141,0.0
1,policy0,0.017578125,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,policy0,0.04833984375,3.0,2.0,0.0,1.0,5.0,12.8,9.0,1.4222222222222223,1.9,1.2895927601809956,0.0
1,policy0,0.0,1.0,0.0,0.0,0.0,2.0,5.0,4.0,1.25,1.3,1.0833333333333333,0.0
1,policy0,0.00830078125,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,policy0,0.0,3.0,3.0,1.0,0.0,2.0,7.8,5.0,1.56,1.95,1.2,0.0
1,policy0,0.0,1.0,0.0,0.0,0.0,3.0,6.8,4.0,1.7,3.1,1.5897435897435899,0.0
1,policy0,0.02490234375,4.0,4.0,1.0,0.0,2.0,7.0,3.0,2.3333333333333335,3.5,1.3333333333333333,0.0
1,policy0,0.01904296875,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,policy0,0.0,1.0,0.0,0.0,0.0,2.0,7.0,3.0,2.3333333333333335,3.5,1.3333333333333333,0.0
1,policy0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,policy0,0.00146484375,2.0,1.0,0.0,0.0,2.0,5.8,2.0,2.9,3.9,1.3448275862068966,0.0
1,policy0,0.05908203125,2.0,1.0,0.0,0.0,2.0,7.0,4.0,1.75,3.1,1.409090909090909,0.0
1,policy0,0.16162109375,3.0,2.0,0.0,1.0,2.0,2.8,3.0,0.9333333333333332,1.4,1.3333333333333335,0.0
1,policy1,0.0341796875,3.0,2.0,0.0,1.0,2.0,5.0,9.0,0.5555555555555556,0.625,1.1111111111111112,0.0
1,policy1,0.00634765625,2.0,1.0,0.0,0.0,6.0,12.799999999999999,8.0,1.5999999999999999,3.9,2.1176470588235294,0.0
1,policy1,0.0322265625,6.0,7.0,2.0,2.0,5.0,14.8,9.0,1.6444444444444446,2.9,1.6384180790960452,0.0
1,policy1,0.09912109375,2.0,1.0,0.0,0.0,2.0,5.0,7.0,0.7142857142857143,1.25,1.4285714285714286,0.0
1,policy1,0.2236328125,2.0,1.0,0.0,0.0,2.0,7.0,4.0,1.75,3.1,1.409090909090909,0.0
1,policy1,0.0,1.0,0.0,0.0,0.0,2.0,6.2,3.0,2.066666666666667,3.1,1.3333333333333333,0.0
1,policy1,0.0,1.0,0.0,0.0,0.0,3.0,7.8,3.0,2.6,3.4,1.3076923076923077,0.0
1,policy1,0.0,1.0,0.0,0.0,0.0,2.0,5.0,2.0,2.5,2.9,1.16,0.0
1,policy1,0.00830078125,2.0,1.0,0.0,0.0,2.0,5.0,6.0,0.8333333333333334,1.25,1.3333333333333333,0.0
1,policy1,0.0234375,3.0,2.0,0.0,1.0,3.0,5.6,6.0,0.9333333333333332,3.4,2.300751879699248,0.0
1,policy1,0.0,3.0,3.0,1.0,0.0,3.0,3.5999999999999996,6.0,0.6,1.2999999999999998,1.6363636363636362,0.0
1,policy1,0.28515625,2.0,1.0,0.0,0.0,3.0,7.0,4.0,1.75,3.5,1.6666666666666665,0.0
1,policy1,0.0,1.0,0.0,0.0,0.0,3.0,7.8,4.0,1.95,3.3,1.4558823529411764,0.0
1,policy1,0.0,1.0,0.0,0.0,0.0,3.0,7.0,4.0,1.75,2.5,1.4285714285714286,0.0
1,policy1,0.54931640625,3.0,2.0,0.0,1.0,4.0,7.2,4.0,1.8,2.5,1.3888888888888888,0.0
1,policy1,0.29150390625,2.0,1.0,0.0,0.0,3.0,7.800000000000001,3.0,2.6,3.5,1.346153846153846,0.0
1,policy1,0.03076171875,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,policy1,0.0,3.0,3.0,1.0,0.0,5.0,12.8,8.0,1.6,2.9,1.6477272727272725,0.0
1,policy1,0.0,1.0,0.0,0.0,0.0,2.0,5.0,3.0,1.6666666666666667,1.95,1.278688524590164,0.0
1,policy1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,policy1,0.01171875,2.0,1.0,0.0,0.0,2.0,7.8,6.0,1.3,1.3,1.0,0.0
1,policy1,0.0,1.0,0.0,0.0,0.0,3.0,6.8,5.0,1.3599999999999999,3.1,1.8787878787878787,0.0
1,policy1,0.0,1.0,0.0,0.0,0.0,2.0,7.0,3.0,2.3333333333333335,3.5,1.3333333333333333,0.0
1,policy1,0.01513671875,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,policy1,0.0,1.0,0.0,0.0,0.0,2.0,7.0,3.0,2.3333333333333335,3.5,1.3333333333333333,0.0
1,policy1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,policy1,0.01806640625,2.0,1.0,0.0,0.0,2.0,5.8,2.0,2.9,3.9,1.3448275862068966,0.0
